question_number,unit_number,chapter_number,question,choice_a,choice_b,choice_c,choice_d,answer
1,ませんでした,1,ある,なかった,ありませんでした,ありません,ありました,B
2,ませんでした,1,いる,いない,いました,いません,いませんでした,D
3,ませんでした,1,行く,行きませんでした,行かない,行きません,行った,A
4,ませんでした,1,来る,こなかった,きません,きませんでした,きました,C
5,ませんでした,1,帰る,帰らない,帰りませんでした,帰りません,帰った,B
6,ませんでした,1,見る,見ない,見ました,見ません,見ませんでした,D
7,ませんでした,1,聞く,聞きませんでした,聞かない,聞きません,聞いた,A
8,ませんでした,1,話す,話さない,話しません,話しませんでした,話した,C
9,ませんでした,1,言う,言わない,言いませんでした,言いません,言った,B
10,ませんでした,1,読む,読まない,読みません,読みました,読みませんでした,D
11,ませんでした,2,書く,書きませんでした,書かない,書きません,書いた,A
12,ませんでした,2,食べる,食べない,食べません,食べませんでした,食べました,C
13,ませんでした,2,飲む,飲まない,飲みませんでした,飲みません,飲んだ,B
14,ませんでした,2,寝る,寝ない,寝ません,寝ました,寝ませんでした,D
15,ませんでした,2,起きる,起きませんでした,起きない,起きません,起きた,A
16,ませんでした,2,する,しない,しません,しませんでした,した,C
17,ませんでした,2,勉強する,勉強しない,勉強しませんでした,勉強しません,勉強した,B
18,ませんでした,2,働く,働かない,働きません,働きました,働きませんでした,D
19,ませんでした,3,休む,休みませんでした,休まない,休ませません,休んだ,A
20,ませんでした,3,会う,会わない,会いません,会いませんでした,会った,C
21,ませんでした,3,買う,買わない,買いませんでした,買いません,買った,B
22,ませんでした,3,売る,売らない,売りません,売りました,売りませんでした,D
23,ませんでした,3,作る,作りませんでした,作らない,作りません,作った,A
24,ませんでした,3,使う,使わない,使いません,使いませんでした,使った,C
25,ませんでした,3,泳ぐ,泳がない,泳ぎませんでした,泳ぎません,泳いだ,B
26,ませんでした,3,遊ぶ,遊ばない,遊びません,遊びました,遊びませんでした,D
27,ませんでした,3,歌う,歌いませんでした,歌わない,歌いません,歌った,A
28,ませんでした,3,待つ,待たない,待ちません,待ちませんでした,待った,C
29,ませんでした,3,立つ,立たない,立ちませんでした,立ちません,立った,B
30,ませんでした,4,座る,座らない,座りません,座りました,座りませんでした,D
31,ませんでした,4,歩く,歩きませんでした,歩かない,歩きません,歩いた,A
32,ませんでした,4,走る,走らない,走りません,走りませんでした,走った,C
33,ませんでした,4,入る,入らない,入りませんでした,入りません,入った,B
34,ませんでした,4,出る,出ない,出ません,出ました,出ませんでした,D
35,ませんでした,4,開ける,開けませんでした,開けない,開けません,開けた,A
36,ませんでした,4,開く,開かない,開きません,開きませんでした,開いた,C
37,ませんでした,4,閉める,閉めない,閉めませんでした,閉めません,閉めた,B
38,ませんでした,4,閉まる,閉まらない,閉まりません,閉まりました,閉まりませんでした,D
39,ませんでした,5,見せる,見せませんでした,見せない,見せません,見せた,A
40,ませんでした,5,貸す,貸さない,貸しません,貸しませんでした,貸した,C
41,ませんでした,5,借りる,借りない,借りませんでした,借りません,借りた,B
42,ませんでした,5,教える,教えない,教えません,教えました,教えませんでした,D
43,ませんでした,5,習う,習いませんでした,習わない,習いません,習った,A
44,ませんでした,5,分かる,分からない,分かりません,分かりませんでした,分かった,C
45,ませんでした,5,分ける,分けない,分けませんでした,分けません,分けた,B
46,ませんでした,5,忘れる,忘れない,忘れました,忘れません,忘れませんでした,D
47,ませんでした,5,覚える,覚えませんでした,覚えない,覚えません,覚えた,A
48,ませんでした,5,要る,要らない,要りません,要りませんでした,要った,C
49,ませんでした,6,置く,置かない,置きませんでした,置きません,置いた,B
50,ませんでした,6,切る,切らない,切りません,切りました,切りませんでした,D
51,ませんでした,6,消す,消しませんでした,消さない,消しません,消した,A
52,ませんでした,6,消える,消えない,消えません,消えませんでした,消えた,C
53,ませんでした,6,押す,押さない,押しませんでした,押しません,押した,B
54,ませんでした,6,引く,引かない,引きません,引きました,引きませんでした,D
55,ませんでした,6,乗る,乗りませんでした,乗らない,乗りません,乗った,A
56,ませんでした,6,降りる,降りない,降りません,降りませんでした,降りた,C
57,ませんでした,6,着る,着ない,着ませんでした,着ません,着た,B
58,ませんでした,6,脱ぐ,脱がない,脱ぎません,脱ぎました,脱ぎませんでした,D
59,ませんでした,7,洗う,洗いませんでした,洗わない,洗いません,洗った,A
60,ませんでした,7,掃除する,掃除しない,掃除しません,掃除しませんでした,掃除した,C
61,ませんでした,7,洗濯する,洗濯しない,洗濯しませんでした,洗濯しません,洗濯した,B
62,ませんでした,7,晴れる,晴れない,晴れません,晴れました,晴れませんでした,D
63,ませんでした,7,降る,降りませんでした,降らない,降りません,降った,A
64,ませんでした,7,いる（要る）,要らない,要りません,要りませんでした,要った,C
65,ませんでした,7,始まる,始まらない,始まりませんでした,始まりません,始まった,B
66,ませんでした,7,終わる,終わらない,終わりません,終わりました,終わりませんでした,D
67,ませんでした,7,返す,返しませんでした,返さない,返しません,返した,A
68,ませんでした,7,帰る,帰らない,帰りました,帰りませんでした,帰った,C
69,ませんでした,8,撮る,撮らない,撮りませんでした,撮りません,撮った,B
70,ませんでした,8,取る,取らない,取りません,取りました,取りませんでした,D
71,ませんでした,8,持つ,持ちませんでした,持たない,持ちません,持った,A
72,ませんでした,8,持って行く,持って行かない,持って行きません,持って行きませんでした,持って行った,C
73,ませんでした,8,持って来る,持ってこない,持ってきませんでした,持ってきません,持ってきた,B
74,ませんでした,8,分かれる,分かれない,分かれません,分かれました,分かれませんでした,D
75,ませんでした,8,困る,困りませんでした,困らない,困りません,困った,A
76,ませんでした,8,死ぬ,死なない,死にません,死にませんでした,死んだ,C
77,ませんでした,8,曲がる,曲がらない,曲がりませんでした,曲がりません,曲がった,B
78,ませんでした,8,開ける,開けない,開けません,開けました,開けませんでした,D
79,ませんでした,8,閉める,閉めませんでした,閉めない,閉めません,閉めた,A
80,ませんでした,9,押す,押さない,押しません,押しませんでした,押した,C
81,ませんでした,9,鳴く,鳴かない,鳴きませんでした,鳴きません,鳴いた,B
82,ませんでした,9,笑う,笑わない,笑いません,笑いました,笑いませんでした,D
83,ませんでした,9,泣く,泣きませんでした,泣かない,泣きません,泣いた,A
84,ませんでした,9,探す,探さない,探しません,探しませんでした,探した,C
85,ませんでした,9,住む,住まない,住みませんでした,住みません,住んだ,B
86,ませんでした,9,吸う,吸わない,吸いません,吸いました,吸いませんでした,D
87,ませんでした,9,使う,使いませんでした,使わない,使いません,使った,A
88,ませんでした,9,聞こえる,聞こえない,聞こえません,聞こえませんでした,聞こえた,C
89,ませんでした,9,見える,見えない,見えませんでした,見えません,見えた,B
90,ませんでした,10,立てる,立てない,立てません,立てました,立てませんでした,D
91,ませんでした,10,入れる,入れませんでした,入れない,入れません,入れた,A
92,ませんでした,10,出す,出さない,出しません,出しませんでした,出した,C
93,ませんでした,10,消す,消さない,消しませんでした,消しません,消した,B
94,ませんでした,10,見つける,見つけない,見つけません,見つけました,見つけませんでした,D
95,ませんでした,10,かかる,かかりませんでした,かからない,かかりません,かかった,A
96,ませんでした,10,要る,要らない,要りません,要りませんでした,要った,C
97,ませんでした,10,頑張る,頑張らない,頑張りませんでした,頑張りません,頑張った,B
98,ませんでした,10,練習する,練習しない,練習しません,練習しました,練習しませんでした,D
99,ませんでした,10,散歩する,散歩しませんでした,散歩しない,散歩しません,散歩した,A
100,ませんでした,11,結婚する,結婚しない,結婚しません,結婚しませんでした,結婚した,C
101,ませんでした,11,旅行する,旅行しない,旅行しませんでした,旅行しません,旅行した,B
102,ませんでした,11,有る,有らない,有りません,有りました,有りませんでした,D
103,ませんでした,11,成る,成りませんでした,成らない,成りません,成った,A
104,ます,1,ある,ありまう,ありました,あるます,あります,D
105,ます,1,いる,いります,いません,います,いるます,C
106,ます,1,行く,行きる,行かます,行きます,行きたます,C
107,ます,1,来る,来ます,来みます,来めます,来ります,A
108,ます,1,帰る,帰りません,帰ります,帰りまする,帰るます,B
109,ます,1,見る,見ります,見ませます,見ります,見ます,D
110,ます,1,聞く,聞きません,聞きます,聞きります,聞きませんでした,B
111,ます,1,話す,話しません,話さます,話します,話しします,C
112,ます,1,言う,言ういます,言うません,言あます,言います,D
