question_number,unit_number,chapter_number,question,choice_a,choice_b,choice_c,choice_d,answer
1,1,1,「朝食（ちょうしょく）」の意味は？,changes daily,breakfast,~entrance/exit,skin/peel,B
2,1,1,「昼食（ちゅうしょく）」の意味は？,lunch,wrapping paper,amount,shrimp,A
3,1,1,「夕食（ゆうしょく）」の意味は？,dinner,tray,to peel,skin/peel,A
4,1,1,「フルーツ」の意味は？,gum,sauce,to manage,fruit,D
5,1,1,「皮（かわ）」の意味は？,long and narrow,to leave (food),skin/peel,straw,C
6,1,1,「むく」の意味は？,side dish,bland,to peel,to leave (food),C
7,1,1,「缶詰（かんづめ）」の意味は？,tray,canned goods,odor/stench,portion(s) for ~ people,B
8,1,1,「新鮮な（しんせんな）」の意味は？,to peel,long and narrow,to litter,fresh,D
9,1,1,「冷凍食品（れいとうしょくひん）」の意味は？,odor/stench,to distinguish,frozen food,wine,C
10,1,1,「冷凍する（れいとう）」の意味は？,~style,wasteful,to freeze,"to swirl, turn",C
11,1,1,「手作り（てづくり）」の意味は？,to distinguish,handmade,the next day,to be turned over,B
12,1,1,「区別する（くべつ）」の意味は？,to distinguish,to be mixed,to leave (food),~entrance/exit,A
13,1,1,「トレー」の意味は？,to eat/drink (honorific),oil,tray,Western,C
14,1,1,「～人分（にんぶん）」の意味は？,soup,portion(s) for ~ people,heart,~entrance/exit,B
15,1,1,「量（りょう）」の意味は？,odor/stench,amount,~entrance/exit,dessert,B
16,1,1,「日替わり（ひがわり）」の意味は？,the next day,reputation,changes daily,"basic, general",C
17,1,1,「定食（ていしょく）」の意味は？,ice,set meal,long and narrow,"fine, calm",B
18,1,1,「本日（ほんじつ）」の意味は？,today,label,"tepid, lukewarm",gum,A
19,1,1,「エビ」の意味は？,to be mixed,to dislike,shrimp,to make a reservation,C
20,1,1,「フライ」の意味は？,self service,drinking party,fried,to manage,C
21,1,1,「おかず」の意味は？,salad oil,side dish,couple,"fine, calm",B
