question_number,unit_number,chapter_number,question,meaning,choice_a,choice_b,choice_c,choice_d,answer
1,1,1,「朝食」の読み方は？,breakfast,やきにく,しんねんかい,ちょうしょく,なま,C
2,1,1,「昼食」の読み方は？,lunch,ちゅうしょく,てづくり,まわす,ひんしつ,A
3,1,1,「夕食」の読み方は？,dinner,くべつ,ゆうしょく,せいよう,かんぱい,B
4,1,1,「皮」の読み方は？,skin/peel,かわ,てづくり,ふう,きほん,A
5,1,1,「缶詰」の読み方は？,canned goods,ひんしつ,しんねんかい,かんづめ,こくさん,C
6,1,1,「新鮮な」の読み方は？,fresh,さきに,す,きほんてきな,しんせんな,D
7,1,1,「冷凍食品」の読み方は？,frozen food,れいとうしょくひん,きほんてきな,こくさん,まざる,A
8,1,1,「冷凍する」の読み方は？,to freeze,ていしょく,れいとう,さんち,かたほう,B
9,1,1,「手作り」の読み方は？,handmade,かた,よくじつ,とりかえる,てづくり,D
10,1,1,「区別する」の読み方は？,to distinguish,ポイすて,くべつ,ひんしつ,まわす,B
11,1,1,「～人分」の読み方は？,portion(s) for ~ people,にんぶん,はい,サラダあぶら,かいすい,A
12,1,1,「量」の読み方は？,amount,しょくよく,ほそながい,よくじつ,りょう,D
13,1,1,「日替わり」の読み方は？,changes daily,かんぱい,ふう,ひがわり,ほんてん,C
14,1,1,「定食」の読み方は？,set meal,ていしょく,かんぱい,しんせんな,よう,A
15,1,1,「本日」の読み方は？,today,しょくよく,ちょうみりょう,すっぱい,ほんじつ,D
16,1,1,「汁」の読み方は？,soup,りょう,てづくり,いやがる,しる,D
17,1,2,「～風」の読み方は？,~style,れいとう,すむ,ふう,かいすい,C
18,1,2,「召し上がる」の読み方は？,to eat/drink (honorific),めしあがる,しおからい,くさる,ぼうねんかい,A
19,1,2,「お先に」の読み方は？,after you / before you,うりきれ,さきに,ひっくりかえす,かんり,B
20,1,2,「ご遠慮なく」の読み方は？,without hesitation,えんりょなく,こい,くさる,どんぶり,A
21,1,2,「焼肉」の読み方は？,yakiniku (grilled meat),しんねんかい,にんぶん,やきにく,よくじつ,C
22,1,2,「残す」の読み方は？,to leave (food),さんち,へいきな,めしあがる,のこす,D
23,1,2,「ひっくり返す」の読み方は？,to turn over,かんぱい,かんり,した,ひっくりかえす,D
24,1,2,「ひっくり返る」の読み方は？,to be turned over,ひっくりかえる,にんぶん,えんりょなく,ひっくりかえす,A
25,1,2,「燃える」の読み方は？,to burn (be burned),ちゅうしょく,さん,もえる,よう,C
26,1,2,「燃やす」の読み方は？,to burn (something),ちょうしょく,さきに,もやす,かんぱい,C
27,1,2,「氷」の読み方は？,ice,こおり,ほんてん,ちょうみりょう,ふう,A
28,1,2,「取り替える」の読み方は？,to replace,しんねんかい,ぐち,ていしょく,とりかえる,D
29,1,3,「濃い」の読み方は？,rich/strong (taste),てづくり,れいとう,こい,もえる,C
30,1,3,「薄い」の読み方は？,bland,しょくよく,しあわせな,うすい,ほんじつ,C
31,1,3,「表面」の読み方は？,surface,ぎょうれつ,ひょうめん,えんりょなく,きほん,B
32,1,3,「油」の読み方は？,oil,うりきれ,こおり,くべつ,あぶら,D
33,1,3,「サラダ油」の読み方は？,salad oil,うりきれる,まわす,すっぱい,サラダあぶら,D
34,1,3,「匂い/臭い」の読み方は？,odor/stench,わりかん,よう,つつみがみ,におい,D
35,1,3,「匂う/臭う」の読み方は？,to be fragrant/stink,さきに,ていしょく,におう,きねんび,C
36,1,3,「嫌がる」の読み方は？,to dislike,やきにく,ちょうみりょう,いやがる,わりかん,C
37,1,3,「平気な」の読み方は？,"fine, calm",へいきな,ちょうみりょう,しょくひん,さきに,A
38,1,3,「腐る」の読み方は？,"to rot, go bad",かい,りょう,くさる,かいすい,C
39,1,3,「酢」の読み方は？,vinegar,のこす,す,どんぶり,かんり,B
40,1,3,「混ぜる」の読み方は？,to mix,うりきれ,まぜる,なべ,こい,B
41,1,3,「混ざる」の読み方は？,to be mixed,がいしょく,まざる,うすい,こな,B
42,1,3,「腹」の読み方は？,stomach,はら,かわ,すむ,かんり,A
43,1,3,「生」の読み方は？,raw,におい,なま,もえる,ちょうみりょう,B
44,1,3,「貝」の読み方は？,shellfish,こい,にんぶん,かい,まわす,C
45,1,4,「食欲」の読み方は？,appetite,かい,もやす,こおり,しょくよく,D
46,1,4,「酸っぱい」の読み方は？,sour,もち,すっぱい,しょくよく,わりかん,B
47,1,4,「管理する」の読み方は？,to manage,しおからい,ぼうねんかい,かんり,こむぎ,C
48,1,4,「回す」の読み方は？,"to swirl, turn",まわす,こむぎこ,せいよう,なべ,A
49,1,4,「片方」の読み方は？,one side,ぐち,かたほう,きねんび,つつみがみ,B
50,1,4,「人前」の読み方は？,in public,のこす,ひとまえ,かわ,ふう,B
51,1,5,「忘年会」の読み方は？,year-end party,めん,もち,さきに,ぼうねんかい,D
52,1,5,「新年会」の読み方は？,New Year's party,さんち,ふう,しんねんかい,えんりょなく,C
53,1,5,「～口」の読み方は？,~entrance/exit,きねんび,めしあがる,ほそながい,ぐち,D
54,1,5,「押さえる」の読み方は？,to make a reservation,サラダあぶら,かわ,おさえる,とりかえる,C
55,1,5,「乾杯する」の読み方は？,to toast,ぜんりょく,さん,かんぱい,はら,C
56,1,5,「送別会」の読み方は？,farewell party,ふう,そうべつかい,れいとう,がいしょく,B
57,1,5,「西洋」の読み方は？,Western,せいよう,ひょうばん,ぎょうれつ,ふう,A
58,1,5,「～店」の読み方は？,~store,はい,ひっくりかえる,てん,せいよう,C
59,1,5,「栄養」の読み方は？,nutrition,のみかい,えいよう,かた,さきに,B
60,1,5,「ポイ捨てする」の読み方は？,to litter,いんしゅ,ほんしゃ,はら,ポイすて,D
61,1,5,「包み紙」の読み方は？,wrapping paper,いやがる,もえる,つつみがみ,あぶら,C
62,1,6,「飲み会」の読み方は？,drinking party,のみかい,ぜんりょく,かわ,きほんてきな,A
63,1,6,「割り勘する」の読み方は？,to split the bill,うりきれ,わりかん,うりきれる,ひょうばん,B
64,1,6,「酔う」の読み方は？,to get drunk,ほんてん,てん,ぎょうれつ,よう,D
65,1,6,「翌日」の読み方は？,the next day,におい,かいすい,よくじつ,ほんしゃ,C
66,1,6,「評判」の読み方は？,reputation,ぼうねんかい,おさえる,しる,ひょうばん,D
67,1,6,「本店」の読み方は？,main store,かんぱい,ひょうめん,ほんてん,たく,C
68,1,6,「本社」の読み方は？,"main office, headquarters",こむぎ,ほんしゃ,はい,しる,B
69,1,6,「細長い」の読み方は？,long and narrow,サラダあぶら,めしあがる,さきに,ほそながい,D
70,1,6,「行列」の読み方は？,"line, queue",やきにく,ぎょうれつ,ぼうねんかい,わりかん,B
71,1,6,「食品」の読み方は？,food,かい,しんねんかい,ひょうばん,しょくひん,D
72,1,6,「産地」の読み方は？,production area,さんち,りょう,まざる,すませる,A
73,1,6,「基本的な」の読み方は？,"basic, general",きほんてきな,せいよう,えいよう,しょくひん,A
74,1,6,「基本」の読み方は？,basics,かた,くさる,きほん,ほんてん,C
75,1,6,「国産」の読み方は？,domestic product,にんぶん,こくさん,ていしょく,におい,B
76,1,6,「品質」の読み方は？,quality,におう,きねん,ふう,ひんしつ,D
77,1,6,「～産」の読み方は？,made in ~,しんねんかい,えんりょなく,ほそながい,さん,D
78,1,7,「幸せな」の読み方は？,"happy, joy",れいとう,りょう,しあわせな,いやがる,C
79,1,7,「売り切れる」の読み方は？,to be sold out,なべ,うりきれる,ゆうしょく,におう,B
80,1,7,「売り切れ」の読み方は？,sold out,うりきれ,こい,しあわせな,てづくり,A
81,1,7,「方」の読み方は？,person (honorific),しょくひん,ちゅうしょく,かい,かた,D
82,1,7,「機会」の読み方は？,opportunity,きかい,した,しんせんな,ほんしゃ,A
83,1,7,「鍋」の読み方は？,pot,におい,ひっくりかえる,なべ,れいとうしょくひん,C
84,1,7,「会」の読み方は？,"party, meeting",かい,ほそながい,どんぶり,こおり,A
85,1,7,「餅」の読み方は？,"mochi, pounded rice cake",こな,もち,しょくよく,におう,B
86,1,7,「蒸す」の読み方は？,to steam,ちゅうしょく,むす,すむ,ゆうしょく,B
87,1,7,「炊く」の読み方は？,to cook (rice),あぶら,てん,ていしょく,たく,D
88,1,8,「肝臓」の読み方は？,liver,ぼうねんかい,ぎょうれつ,かんぞう,よくじつ,C
89,1,8,「飲酒する」の読み方は？,to drink alcohol,うすい,もやす,いんしゅ,かい,C
90,1,8,「調味料」の読み方は？,seasoning,ちょうみりょう,ふう,ちゅうしょく,れいとうしょくひん,A
91,1,8,「海水」の読み方は？,seawater,かいすい,やきにく,れいとう,そうべつかい,A
92,1,8,「舌」の読み方は？,tongue,よくじつ,した,へいきな,むす,B
93,1,8,「塩辛い」の読み方は？,salty,しんせんな,ひっくりかえる,しおからい,えいよう,C
94,1,8,「済ませる」の読み方は？,"to be done, settle",ちょうしょく,におい,すませる,かんり,C
95,1,8,「済む」の読み方は？,to finish,まぜる,あぶら,すむ,かんづめ,C
96,1,8,「外食する」の読み方は？,to eat out,がいしょく,かたほう,なま,ちょうしょく,A
97,1,8,「記念日」の読み方は？,anniversary,きねんび,よくじつ,もやす,かい,A
98,1,8,「記念する」の読み方は？,to commemorate,ぎゅうどん,におい,きねん,りょう,C
99,1,8,「全力」の読み方は？,"full strength, with all one's might",ぜんりょく,ぼうねんかい,しんせんな,ひんしつ,A
100,1,8,「丼」の読み方は？,bowl,かた,どんぶり,にんぶん,うすい,B
101,1,8,「～杯」の読み方は？,~ counter for bowls/cups,しおからい,はら,きねん,はい,D
102,1,9,「小麦」の読み方は？,wheat,なべ,こむぎ,しおからい,うりきれ,B
103,1,9,「小麦粉」の読み方は？,flour,こむぎこ,すませる,めん,ちょうみりょう,A
104,1,9,「粉」の読み方は？,powder,こな,こむぎこ,かんぞう,こくさん,A
105,1,9,「麺」の読み方は？,noodles,めん,めしあがる,しんせんな,きかい,A
106,1,10,「牛丼」の読み方は？,beef bowl,さんち,ぎゅうどん,れいとうしょくひん,てん,B
